source_document,source_page,book_page,event_date_raw,year,event_type,ruler_actor,title,text_asli,notes,era_slug,fort_name,dominion_status,tags
CD4,399,388-392,19 Maret 1712,1712,perjanjian,"regenten Priaman, Oulaccan, Sonor, Bintoengantingi, Lima-cotta & Ticou -> gezaghebber Sumatra's Westkust","Priaman dkk kembali ke pangkuan Aceh, lalu ditundukkan ulang","In de eerste jaren van de 18de eeuw weigerden die van Priaman en omgeving zelfs de Compagnie als beschermheer te erkennen en traden weer in verbinding met de Atjehers... Nademael zeederd veele jaren herwaerts door de trouwloosheyd en misleydinge sommiger regenten... hare wettige overheyt, niet meer te erkennen... Ten tweeden, dat zy nog iemand van de hare nimmermeer eenig verstand zullen pleegen met die van Aetchin, nog selffs derwaerts heen ten handel varen... maer integendeel deselve aldaer aencomende, arresteeren en met derselver vaertuygen en inlage herwaertsaen senden, om wyders geconfisqueerd en het provenu verdeeld te werden... de eene helfft voor de regenten.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DCXCI 'Sumatra's Westkust'. TEMUAN UTAMA CD4: Priaman & 5 negeri sekitarnya (Oulaccan/Ulakan, Sonor, Bintoengantingi, Lima-cotta, Ticou) benar-benar LEPAS dari VOC awal abad 18 & kembali berhubungan dgn Aceh -- pola relaps yg sama sudah muncul 1678/1684/1689 (CD3), tapi ini jeda TERLAMA (~20 tahun) sebelum ditundukkan ulang. Traktat baru eksplisit larang dagang/kontak dgn Aceh, sita kapal Aceh dibagi 50/50 VOC-regenten, batasi pelayaran Indrapoura(selatan)-Air Bangis(utara) saja.",pengusiran-penataan,Pariaman,voc_alliance,
CD4,487,477-482,21 Maret 1716,1716,perjanjian,14 pounglous Paoeh (radja Pera dkk) -> Gouverneur-Generaal Christoffel van Swoll,Paoeh ditundukkan usai berontak dukung Sultan Minangkabau,"In 1713 was de Compagnie in moeilijkheden geraakt met den sultan van Menangkabau, radja Gagar Alam, wat aan heel de Westkust onrust veroorzaakte... waren de bewoners van Paoeh, onder hun roofzuchtigen radja Pera, er dadelijk bij om die gelegenheid te profiteeren... Dat sy voortaen niemand buyten d'E. Comp[agnie] voor hare wettige overheyt sullen erkennen... Dat sy in gevolge haer ook nooyt weder binnen 't district van Paeuw sullen ter woon begeven... op verbeurte van lijf en leven.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DCCXV 'Sumatra's Westkust'. Bukan pemberontakan pro-Aceh, tapi pola serupa: Paoeh manfaatkan konflik VOC-Sultan Minangkabau (1713) utk memberontak, ditundukkan 1716 dgn syarat keras -- desa mereka DIHAPUS & penduduk wajib pindah ke wilayah Padang, dilarang balik ke Paoeh selamanya atas ancaman nyawa.",pengusiran-penataan,,,
CD4,493,483-484,Maret 1716,1716,perjanjian,sultan Radja Passisir Barat & 20 mantrijs (Indrapoura) -> secretaris Bernard Draypon,Indrapoera kembali ke VOC usai sempat berpihak Inggris,"Bij de vestiging der Engelschen aan die kust, na hun verdrijving uit Bantam in 1684, was de vorst van Indrapoera een der eersten geweest, die zich bij hen had aangesloten... In April 1715 schreef hij een brief... waarin hij er onder allerlei schoone beloften, op aandrong 'een pagger en pakhuys vanwegens d'E. Comp[agnie] tot Indrapoura te stabileren'... den sultan, Radja Passisir Barat en syne 20 mantrijs 't contract, in den jare 1663 met d'E. Comp[agnie] aengegaen, op een plegtige wyse door aflegginge van den eed op haren alcoran vernieuwt en gewillig aengenomen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, dokumen 'DCCXVI Sumatra's Westkust'. Indrapoera (traktat pertama VOC 1660/1663) sempat berpaling ke Inggris sejak 1684 (pasca-pengusiran Inggris dari Bantam) -- setelah pos Inggris tutup awal abad 18, sultan Indrapoera sendiri yg minta VOC kembali dirikan pagger/pakhuys, dan perbarui sumpah traktat 1663. MELENGKAPI kisah Indrapoera 1660/1663 (korpus_tema_slim.csv) dgn babak relaps-ke-Inggris yg sebelumnya tak tersitasi.",pengusiran-penataan,Inderapura,voc_alliance,
CD5,26,16-19,11 Maret 1727,1727,perjanjian,landgroten Tigablas & Doeapoeloeh-Kotta -> gezaghebber Emond Buyk,Tigablas & Doeapoeloeh-Kotta perbarui aliansi usai sempat mengungsi ke gunung,"De hoofden en volkeren van de Tigablas- en Doeapoeloeh-Kotta's, door 'quade intrigues' tot verzet gebracht, weken voor een belangrijk deel uit naar het gebergte... Spoedig kwamen dan ook de uitgewekenen terug, boden te Padang hun verontschuldiging aan, en sloten een nieuwe overeenkomst met de Compagnie... Verklaren zy, heeren en groten, alle Atchinders en andere 's Comp[agnie]s vyanden mede voor haren vyanden... Is geaccordeert ende overeengekomen, dat wanneer de ingesetenen eenig goud presenteren zullen te verkopen, de ministers van d'E. Comp[agnie] hetzelve, alvorens d'prijs te maken, om alle valshijd en bedrog voor te komen, zullen vermogen te probeeren in 't vuur.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid V, traktat DCCLIV 'Sumatra's Westkust'. Tigablas & Doeapoeloeh-Kotta (13 & 20 negeri, wilayah pedalaman Padang) sempat mengungsi ke gunung akibat hasutan, VOC sengaja TIDAK mengejar tapi blokade garam ke pengungsi -- mereka kembali minta maaf & perbarui traktat. Pasal unik: prosedur uji emas dengan api demi cegah penipuan pedagang emas lokal.",pengusiran-penataan,Padang,voc_alliance,
CD5,108,98-100,22 Maret 1731,1731,perjanjian,pongoulous Passeriboe (Sorkam) -> resident Baros Jacobus Scholten,Pasariboe & Baros berdamai usai sengketa perangkap ranjau,"Oneenigheden tusschen de inwoners van Pasariboe en die van Baros, waarbij de eerstgenoemden, uit het gebergte afgekomen, in de omgeving van Baros 'voetangels' gelegd hadden, leidden tot gevangenneming der pongloes van Pasariboe door die van Baros... die van Pasariboe kregen hun vrijheid weer tegen betaling van 40 rijksdaalders boete en het afleggen van een nieuwen eed... En dat alle bensuim, camphur, ook eetbare wharen... tot Baros, en op geen andere plaatsen, sullen ter markt brengen om aan de E. Comp[agnie] te leveren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid V, traktat DCCLXXX 'Sumatra's Westkust'. Sengketa lokal (jebakan ranjau kaki/voetangels dekat Baros) diselesaikan resident Baros -- denda 40 rijksdaalder + sumpah ulang monopoli dagang kemenyan/kapur barus eksklusif ke Baros (pola sama traktat Batak Dairi 1694, CD4), termasuk ritual sumpah makan daging kerbau mentah bercampur garam-lada-kapur barus-kunyit.",pengusiran-penataan,Barus,internal_conflict,
CD5,271,261-262,20 Desember 1737,1737,administratif,Radja Nanxatti (pongul Kleyn Zillida) -> Haer Hoogedelens Batavia,"Tambang emas Sillida disewakan, VOC pertahankan hak kedaulatan","Het volgende document is een verhuurcontract, dat niettemin in het Corpus behoort te worden opgenomen, daar het een bewijs is dat de Compagnie, ofschoon zij het mijnwerk op Salido, dat al vele jaren een tekort opleverde, wenschte op te geven, toch haar souvereiniteitsrechten uitdrukkelijk handhaafde... Bespreekt hy, Radja Nanxatti, tot huur van gedagte mynerven jaarlijks te sullen betaelen de somma van een hondert en sestig rijxdaelders... Om 't goud, dat uyt dikgewaegde mynen mogte gewassen of op een andere manier gehaelt werden, te sullen leeveren aan d'E. Comp[agnie] tegens 14 rijxdaelders yder thavl.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid V, dokumen 'DCCCXXXVI Sumatra's Westkust'. VOC tinggalkan operasi LANGSUNG tambang emas Sillida (rugi bertahun-tahun) tapi SENGAJA tetap sewakan (bukan lepas) demi pertahankan hak kedaulatan -- kontrak sewa ke radja Nanxatti: 400 rd alih alat, 160 rd/tahun sewa (2 termin), harga emas tetap 14 rd/thail. Temuan tol/pajak: bentuk penguasaan fiskal tak langsung, beda dari traktat aliansi politik biasa.",pengusiran-penataan,Salido,voc_alliance,
CD5,330,320-323,21 Oktober 1741,1741,konflik,landgroten Tigablas & Doeapoeloeh-Kotta -> commandeur Haverman & gesaghebber Van der Feltsz,Tigablas & Doeapoeloeh-Kotta setia di tengah pemberontakan besar 1740,"In 1740 was een groot deel der Westkust in vollen opstand. Even als in de 17de eeuw stelden die van Paoeh en Kotta-Tengah zich weer aan de spits, en de Priamanners sloten zich bij hen aan. De leiding van den opstand berustte bij zekeren Abdul Jalil, 'hoofd der bergvolkeren'... Zelfs was zij genoodzaakt haar versterking op Priaman prijs te geven... In deze zware tijden bleven enkele oude bondgenooten de Compagnie trouw en de regenten van de Doewa-poeloe en Tigablas Kotta's hernieuwden hun contract van bondgenootschap.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid V, traktat DCCCLXII 'Sumatra's Westkust'. TEMUAN PENTING: pemberontakan BESAR 1740 -- Paoeh, Kotta-Tengah & Priaman bersatu di bawah Abdul Jalil ('hoofd der bergvolkeren'), VOC (hanya 108 tentara Eropa di seluruh westkust krn penghematan) terpaksa lepas benteng Priaman & tinggalkan meriam. Di tengah krisis ini, Tigablas & Doeapoeloeh-Kotta perbarui lagi traktat 1727 mereka -- bukti kesetiaan yg jarang di tengah pemberontakan besar, MELENGKAPI pola relaps-tunduk yg sudah berulang sejak CD2/CD3.",pengusiran-penataan,Padang,voc_alliance,
CD6,42,29-32,2 Februari 1755,1755,perjanjian,Jan du Pertuang Bagindo Southan Laranque (koning Troussang) -> commandeur Thymon Pieter van Herzeele,VOC buka rangkaian renovasi besar ~30 negeri westkust akibat cemas Inggris,"In 1754 schreven Gouverneur-Generaal en Rade... dat zij het, met het oog op de toenemende activiteit der Engelsen aldaar, wenselijk achtten de bestaande contracten... te hernieuwen en zo nodig aan te vullen... Draagt Zyne Majesteit zyne landen in volle eygendom en gehoorsaamheid aan d'E. Comp[agnie] [op]... Voor alle negotie, zo in- als uytgaande, zal Zyne Majesteid geene tollen mogen eysschen... Mitsgaders die, zo wel als alle andere producten van zyne landen, alleen aan de Comp[agnie] te leveren, geene uytgesondert, tegens behoorlyke prysen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat CMLX 'Sumatra's Westkust'. Pembuka RANGKAIAN RENOVASI BESAR: 1754 GG&Rade cemas 'toenemende activiteit der Engelsen' di westkust, perintahkan commandeur van Herzeele keliling perbarui SEMUA traktat lama -- traktat ini (Troussang/Trusan) jadi TEMPLATE yg diulang nyaris identik ke ~30 negeri lain (Bajang, Salida, Painan, Batang Kapas, Tello, Tarato, +8 Sapuluh Buah Bandar lain, Indrapoura, Pauw, Cottatenga, Kota Tengah, V/VII/XII Kotta, Tiku, Ulaka, IX Kotta, Air Bangis, Natal, Tabussang, Sorkam, Tapanuli, Gunung Tuwa, Baros) dari Feb 1755 sampai Jan 1756 -- praktis SELURUH pantai barat menegaskan ulang kesetiaan VOC dalam waktu kurang setahun. Pasal 8 eksplisit: raja TAK BOLEH pungut tol atas dagang apapun.",pengusiran-penataan,Bayang,voc_alliance,
CD6,47,34-35,5 Februari 1755,1755,perjanjian,koning Zillida & 8 ponghoulous -> commandeur Thymon Pieter van Herzeele,Raja Salida minta & terima gelar kehormatan Siri-nara,"Niettegenstaande Zijn Majesteid en ponghoulous reeds diverse maelen haere landen in volle eygendom aan de Comp[agnie] hebben opgedragen, vernieuwt niet alleen 't selve... Zyne Majesteid en regenten verbinden zig mits desen allen handel in capok... in zyne negorie te weiren en te houden als contra banda... Zyne Majesteid versoekt by deesen, dat aan hem het honneur by arrivement tot Padang mag werden beweesen, als den panglima aldaar... Teffens versoekt Syne Majesteid, dat mag werden gehonoreert met den eernaam van Siri-nara, gelijk zyne voorouders, 't welk hem g'accordeerd is.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat CMLXIII 'Sumatra's Westkust'. Bagian rangkaian renovasi besar 1755 (lihat CMLX/Trusan). Temuan HADIAH: raja Salida minta & terima gelar kehormatan 'Siri-nara' (gelar leluhurnya) serta penghormatan setara panglima Padang saat tiba di comptoir -- honor simbolis, bukan materi, tapi eksplisit bagian negosiasi traktat. Kapok dilarang keras sbg barang selundupan.",pengusiran-penataan,Salido,voc_alliance,
CD6,62,49-50,15 Februari 1755,1755,perjanjian,"Sulthan Mamet-chia, Manca-boemie & 20 mentries Indrapoura -> commandeur Thymon Pieter van Herzeele","Indrapoura perbarui traktat, satu-satunya yg sebut ancaman Atjeh eksplisit","Waarentegen de Comp[agnie] aanneemt haar van alle overlast of feytelijkheden, die haar ter zee, 't zy door Atchinders dan wel eenige andere vyanden... te bevryden en beschermen... Voor alle negotie, zo in- als uytgaande zullen zylieden geene tollen mogen eyschen dan de ordinaire geregtigheden van rijxdaalders voor de baar peper.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat CMLXX 'Sumatra's Westkust'. Bagian rangkaian renovasi besar 1755. Satu-satunya traktat rangkaian ini yg SECARA EKSPLISIT sebut Atjeh sbg ancaman laut yg dijanjikan VOC lindungi -- klausul tol pun beda dari template Trusan: bukan bebas-tol total, tapi 'geregtigheid ordinair' (bea baku) tetap dipungut per bahar peper, menunjukkan Indrapoura punya daya tawar lebih dari negeri kecil lain.",pengusiran-penataan,Inderapura,voc_alliance,
CD6,210,198-199,6-7 Maret 1760,1760,konflik,Dato's-bazaer Radja-putti-katy & Sulthan Bagindo Maharadja-Lelo (Natal) -> resident Nias Johan Abraham van Moschel,"Prancis rebut benteng Natal dari Inggris, serahkan ke VOC lewat penguasa lokal","In de zevenjarige oorlog tusschen Engeland en Frankrijk (1756-1763)... in de aanvang van 1760 verscheen ter Westkust een eskader van twee wel uitgeruste Franse schepen... Deze slaagde er in het door de Engelsen op Natal gebouwde fortje te nemen... liet hij het door den nieuwen commandant, den Fransen kapitein Carpentier, overdragen aan de inheemse souvereinen, op conditie, dat deze het weer aan de Nederlanders zouden afstaan... Wy, Dato's-bazaer... verklaeren dat wy uyt handen van de heer... Carpentier ontfangen hebben het fort Natal, door de Franschen over de Engelschen veroverd... met eene eenparige vrywilligheyt hetzelve fort Natal in handen van de heer Johan Abraham van Moschel... stellen, opdat het gemelde fort Natal in eygendom aen de Hollandse Maatschappy toebehoore.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat MXXVI 'Sumatra's Westkust'. Perang Tujuh Tahun (1756-63) Inggris-Prancis merembet ke westkust: Prancis (Comte d'Estaing) rebut benteng Natal dari Inggris (7 Feb 1760), lalu SENGAJA serahkan ke penguasa lokal dgn syarat mereka teruskan ke VOC -- prosedur berbelit demi hindari tuduhan Inggris bahwa Prancis-Belanda langgar netralitas. Bukti langka konflik kolonial Eropa non-Aceh yg justru MENGUNTUNGKAN VOC di westkust.",pengusiran-penataan,,,
CD6,223,211-215,6 Oktober 1760,1760,perjanjian,"hoofdregent Baginda Maharadja Lello, radja Darat & 7 ponghoulous Natal -> commandeur Christiaan Lodewijk Senff",Natal resmi kembali ke VOC usai sempat menyimpang ke pengaruh Inggris,"Alhoewel de gezamentlyke regenten van Natter zig al in anno 1693 by een solemneel contract aan de Nederlandse Compagnie hebben verbonden gehad en hetzelve ook in anno 1755 nog vernieuwt, zoo zijn deselve egter t'seedert daarvan gediverteert en afgetrokken geworden, gedeeltelijk door persuatiën en gedeeltelijk door drygementen van eenige Engelsen, die zig met geweld in haar district hebben terneer gezet... Maar aangezien eene Fransche krijgsmacht deeze Engelsen nu verjaagd en haar weeder in de geruste bezitting van haer land gesteld heeft... zoo hebben zy... opnieuw weeder een bondig contract aan te gaan... Dat zy, zoo als die op Padang, Poulo Chinco en andere plaatsen, tot een douceur in contant genieten zullen rijxdaalder ligt geld per thail, zijnde 1% percento... en dat zy zoo min iets meer van d'E. Comp[agnie] zullen vorderen als dat d'E. Comp[agnie] van haar, onder de naam van geregtigheyt of andersints, iets sal eyschen of neemen mogen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat MXXXI 'Sumatra's Westkust'. Natal, yg SUDAH traktat VOC sejak 1693 & 1755, sempat 'menyimpang' ke pengaruh Inggris (persuasi & ancaman) sebelum direbut Prancis 1760 -- setelah itu minta sendiri kembali ke VOC. Temuan TOL/HADIAH paling rinci sesi ini: 'douceur' (uang terima kasih) 1 rijksdaalder ringan/thail (1,25%) dari SEMUA kain yg terjual, sbg SATU-SATUNYA pungutan yg boleh diminta VOC -- pasal 15 juga janjikan pedagang gunung BEBAS TOL sepenuhnya. MELENGKAPI kisah traktat Natal 1693 & 1755 dgn babak relaps-ke-Inggris yg baru.",pengusiran-penataan,,,
CD6,239,227-231,5 Juni 1763,1763,perjanjian,hoofdregenten Tigablas Cottas -> commandeur Christiaan Lodewijk Senff,"VOC janji hadiah tahunan ke Tigablas Cottas demi jaga jalur gunung, larang dagang Inggris","Herhaalde onenigheden tussen de XIII Kotta's en de 'strandvolckeren' aan Sumatra's Westkust... Ten dien eynde zal de Ed. Comp[agnie] zorge draagen, dat zy althoos eene goede quantiteyt van lywaaten, zout en yzer hier in voorraad heeft, terwijl de regenten van de Tigablas Cottas zig verbinden, dat zy en haare onderhoorige vooral by geene Engelsche of andere particuliere negotianten te markt gaan... zo verbindt zig de Ed. Comple daarvoor jaarlijx eens, als eene vrywillige gift en geschenk te geeven aan iedere negory 8 zwaare rijksdaelders van 60 stuyvers ieder, sonder meer, welk montant hier op Padang, telkens ten tvde van de vasten, of het Maleidsche nieuwe jaar, in goede munte betaalt zal werden.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat MXXXVII 'Sumatra's Westkust'. TEMUAN HADIAH PALING RINCI sesi ini: VOC berjanji beri 'vrywillige gift en geschenk' (hadiah sukarela) 8 rijksdaalder/negory SETIAP TAHUN ke Tigablas Cottas (13 negeri pedalaman) sbg imbalan jaga jalur gunung -- dibayar tiap Lebaran di Padang, DIBATALKAN kalau mereka berdagang dgn Inggris. Pasal 10 juga catat masalah pemalsuan emas & uang di kalangan Tigablas Cottas -- VOC dpt hak tangkap pemalsu. Cuma 5 dari 13 negeri hadir menandatangani saat itu.",pengusiran-penataan,Padang,voc_alliance,
CD6,301,289-291,19 Juli 1767,1767,konflik,Iman Maharadja Sulthan Lawi Apy Gampong Alam Sinaro Soetan-moedo (Siboulouang/Pasaman) -> commandeur Hendrik van Staveren,"Pemberontakan Klein-Pasaman ditumpas, dua sekutu VOC ikut membelot","In 1766 stelde zich de roerige vorst van Klein-Pasaman tegen de Compagnie en overviel enkele harer posten. Met een kleine macht trok de resident van Air Bangis, Jan Boudewijnsz, tegen den rustverstoorder op... vielen een tweetal bondgenoten der Compagnie, die van Kota-Baru en Si-Buluang, van haar af en sloten zich bij den vijand aan... zond nu de Hoge Regering een expeditie, bestaande uit 100 Europese en 200 Boeginese soldaten onder den kapitein Daniël Poppelman... Deze versloeg de opstandelingen en bezette Kinali... soo is geaccordeerd aldaar als zoodanig vooreerst te doen verblyven den... prins uit het Minangcabosche huys, Radja Paminger Laut.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, traktat MLVI 'Sumatra's Westkust'. Pemberontakan lokal Klein-Pasaman (1766) -- BUKAN dipicu faksi Aceh, tapi konflik internal -- dua sekutu VOC (Kota-Baru, Si-Buluang) malah membelot ikut pemberontak. Ekspedisi 100 tentara Eropa + 200 Bugis padamkan; VOC angkat pangeran Minangkabau (Radja Paminger Laut) sbg regent sementara Kinaly, & rencanakan tempatkan pedagang Padang di Siboulouang utk fasilitasi dagang dgn 'Rauwers' (pedagang gunung Rao).",pengusiran-penataan,Air Bangis,voc_alliance,
CD6,404,393,23 Januari 1775,1775,administratif,vaandrig Lodewijk Kaysel & boekhouder Johannes Leuftink -> koning/radja Baros,"VOC tarik mundur dari Baros, kalah saing dagang dgn Inggris Bengkulu","Sedert een eeuw had de Compagnie een loge op Baros gehad, maar daar doorlopend moeilijkheden gehad met de plaatselijke hoofden. In de 18de eeuw ging de handelsomzet er geleidelijk achteruit, niet het minst door de concurrentie der Engelsen, die van Benkulen uit op de gehele Westkust voeren. Op advies van den gezaghebber der Weskust besloot de Hoge Regering in 1774 de loge op te heffen; zij wilde echter een deur openlaten om eventueel terug te kunnen komen... geeft by dezen alle 's Edele Compagnies gebouwen, met dies ompaggeringen to Baros staande, over aan den koning van Baros, tot zijn gebruik, onder deese conditie, dat den koning... verpligt zullen blyven, als de Nederlandsche Compagnie die gebouwen weder benodigt mogte hebben... dezelve dadelijk aan haar weder over te geven.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid VI, dokumen 'MXCIX Sumatra's Westkust'. Setelah ~1 abad ada loge di Baros (sejak traktat 1668, CD2), VOC TARIK MUNDUR krn kalah saing dagang dgn Inggris (dari Bengkulu) -- bangunan diserahkan ke raja Baros, TAPI dgn syarat wajib dikembalikan kalau VOC minta lagi. Tanda pertama kemunduran kehadiran VOC di westkust utara menjelang akhir abad ke-18, kontras dgn ekspansi agresif era Sas (CD4) & renovasi masif 1755 (CD6 awal).",pengusiran-penataan,Barus,voc_withdrawal,
